CD_MUNICIPIO,NM_MUNICIPIO,LATITUDE,LONGITUDE
88943,MAMPITUBA,-29.2128226,-49.9344527
86940,MANOEL VIANA,-29.585935,-55.484112
86967,MAQUINÉ,-29.6756372,-50.2056317
86983,MARATÁ,-29.549349,-51.5546411
87378,MARAU,-28.4493053,-52.2002156
87394,MARCELINO RAMOS,-27.4622708,-51.9081009
87009,MARIANA PIMENTEL,-30.3536856,-51.5832775
87416,MARIANO MORO,-27.3541972,-52.1469053
88820,MARQUES DE SOUZA,-29.3275642,-52.0961801
87432,MATA,-29.5637643,-54.4590898
87025,MATO CASTELHANO,-28.2782729,-52.1948111
87041,MATO LEITÃO,-29.5281244,-52.1278069
89303,MATO QUEIMADO,-28.257822,-54.61709
87459,MAXIMILIANO DE ALMEIDA,-27.6326512,-51.8046768
88447,MAÇAMBARÁ,-29.144485,-56.067444
87068,MINAS DO LEÃO,-30.1334499,-52.0455962
87475,MIRAGUAÍ,-27.4943651,-53.6874223
85820,MONTAURI,-28.6501657,-52.0757639
88803,MONTE ALEGRE DOS CAMPOS,-28.6840498,-50.7820322
87084,MONTE BELO DO SUL,-29.1636205,-51.6347449
87491,MONTENEGRO,-29.6826112,-51.4687455
87106,MORMAÇO,-28.6935499,-52.6925978
87122,MORRINHOS DO SUL,-29.3653782,-49.9314425
87149,MORRO REUTER,-29.5389519,-51.0818864
87513,MOSTARDAS,-31.10538,-50.916692
88544,MUITOS CAPÕES,-28.3162856,-51.1836226
87165,MULITERNO,-28.3295989,-51.7682438
87530,MUÇUM,-29.1672546,-51.8745312
87181,NICOLAU VERGUEIRO,-28.5361987,-52.4631712
87572,NONOAI,-27.3660882,-52.7717853
86169,NOVA ALVORADA,-28.6774191,-52.1663732
87599,NOVA ARAÇÁ,-28.6604116,-51.7424776
87610,NOVA BASSANO,-28.7304074,-51.7034689
87203,NOVA BOA VISTA,-27.993207,-52.9798023
87637,NOVA BRÉSCIA,-29.2158737,-52.0290188
88226,NOVA CANDELÁRIA,-27.6110759,-54.1065402
85120,NOVA ESPERANÇA DO SUL,-29.4102156,-54.8287783
84816,NOVA HARTZ,-29.5842391,-50.9043246
87653,NOVA PALMA,-29.4711081,-53.4693751
87670,NOVA PETRÓPOLIS,-29.3759836,-51.1123342
87696,NOVA PRATA,-28.7849383,-51.6091999
87220,NOVA PÁDUA,-29.0283514,-51.3075981
88560,NOVA RAMADA,-28.0820908,-53.7063919
84751,NOVA ROMA DO SUL,-28.9884663,-51.4086514
87246,NOVA SANTA RITA,-29.8489972,-51.2764275
87262,NOVO BARREIRO,-27.9075461,-53.1095554
88684,NOVO CABRAIS,-29.7347439,-52.9499851
87718,NOVO HAMBURGO,-29.6905705,-51.1429035
87289,NOVO MACHADO,-27.5780463,-54.5010396
87300,NOVO TIRADENTES,-27.5628338,-53.1827183
89320,NOVO XINGU,-27.7482333,-53.0629707
87556,NÃO-ME-TOQUE,-28.4575507,-52.8196547
87734,OSÓRIO,-29.8890733,-50.2740498
87750,PAIM FILHO,-27.7099371,-51.7586234
87777,PALMEIRA DAS MISSÕES,-27.9010519,-53.3135927
87793,PALMITINHO,-27.3553374,-53.5575968
87815,PANAMBI,-28.2898542,-53.501822
84980,PANTANO GRANDE,-30.1907942,-52.3721771
87831,PARAÍ,-28.5966772,-51.7851426
85987,PARAÍSO DO SUL,-29.7311548,-53.1777338
87327,PARECI NOVO,-29.6386722,-51.3961969
98256,PAROBÉ,-29.624257,-50.83118
88889,PASSA SETE,-29.4498383,-52.9652172
87343,PASSO DO SOBRADO,-29.7477243,-52.2734293
87858,PASSO FUNDO,-28.2550598,-52.3966606
89346,PAULO BENTO,-27.7034385,-52.4220174
